"Addison-Blue",FF00A1DE,11 , 18 , 26 , 27 , 22 , 21 , 20 , 20 , 21 , 22 , 22 , 22 , 22 , 20 , 18 , 18 , 17 , 16 , 13 , 91 , 76 , 64 , 68 , 63 , 56 , 18 , 85 , 75 , 287 , 199 , 95 , 130 , 150 , 116 , 153 , 24 , 222 , 160
"Belmont-Blue",FF00A1DE,11 , 17 , 25 , 28 , 22 , 21 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 21 , 19 , 18 , 17 , 16 , 13 , 51 , 125 , 75 , 55 , 43 , 43 , 58 , 66 , 57 , 145 , 92 , 102 , 123 , 174 , 126 , 198 , 4 , 204 , 122
"Logan Square",FF00A1DE,10 , 17 , 24 , 28 , 24 , 21 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 21 , 19 , 17 , 16 , 15 , 15 , 256 , 165 , 53 , 63 , 57 , 85 , 114 , 94 , 30 , 142 , 157 , 113 , 125 , 190 , 137 , 202 , 75 , 140 , 180
"California-O'Hare",FF00A1DE,10 , 17 , 24 , 28 , 23 , 21 , 20 , 20 , 21 , 22 , 22 , 22 , 22 , 21 , 19 , 17 , 16 , 15 , 15 , 166 , 185 , 85 , 60 , 70 , 30 , 97 , 44 , 70 , 157 , 159 , 164 , 129 , 185 , 337 , 202 , 75 , 150 , 118
"Western-O'Hare",FF00A1DE,10 , 16 , 24 , 29 , 23 , 21 , 20 , 20 , 21 , 21 , 22 , 22 , 22 , 22 , 19 , 17 , 16 , 15 , 15 , 241 , 154 , 75 , 53 , 82 , 71 , 154 , 138 , 49 , 123 , 126 , 131 , 164 , 176 , 312 , 162 , 107 , 106 , 78
"Damen-O'Hare",FF00A1DE,8 , 17 , 23 , 29 , 23 , 21 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 21 , 19 , 18 , 17 , 16 , 13 , 164 , 128 , 62 , 48 , 81 , 59 , 96 , 90 , 92 , 132 , 156 , 138 , 174 , 154 , 244 , 213 , 133 , 106 , 58
"Division",FF00A1DE,8 , 17 , 23 , 29 , 23 , 21 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 21 , 19 , 18 , 17 , 16 , 13 , 111 , 137 , 63 , 39 , 66 , 49 , 57 , 116 , 61 , 97 , 135 , 114 , 156 , 107 , 240 , 104 , 137 , 197 , 66
"Chicago-Blue",FF00A1DE,8 , 16 , 23 , 29 , 23 , 22 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 21 , 19 , 18 , 17 , 16 , 13 , 109 , 126 , 94 , 38 , 70 , 60 , 49 , 113 , 17 , 104 , 154 , 109 , 145 , 172 , 238 , 261 , 132 , 175 , 72
"Grand-Blue",FF00A1DE,8 , 15 , 23 , 28 , 24 , 21 , 20 , 20 , 21 , 21 , 22 , 22 , 22 , 22 , 20 , 17 , 17 , 15 , 14 , 237 , 123 , 83 , 61 , 55 , 74 , 32 , 103 , 92 , 100 , 93 , 82 , 100 , 150 , 267 , 135 , 40 , 137 , 109
"Clark/Lake (Subway)",FF00A1DE,7 , 16 , 21 , 29 , 25 , 21 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 22 , 20 , 17 , 16 , 15 , 15 , 213 , 174 , 72 , 50 , 91 , 87 , 101 , 81 , 135 , 138 , 64 , 68 , 127 , 131 , 262 , 258 , 171 , 152 , 105
"Washington-Blue",FF00A1DE,6 , 16 , 22 , 29 , 23 , 22 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 21 , 19 , 18 , 17 , 16 , 15 , 178 , 137 , 76 , 50 , 68 , 98 , 27 , 90 , 93 , 176 , 124 , 91 , 96 , 139 , 211 , 297 , 101 , 128 , 46
"Monroe-Blue",FF00A1DE,6 , 16 , 21 , 30 , 23 , 22 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 21 , 19 , 18 , 17 , 16 , 15 , 166 , 163 , 74 , 64 , 98 , 105 , 30 , 97 , 104 , 125 , 129 , 90 , 79 , 124 , 213 , 289 , 213 , 101 , 134
"Jackson-Blue",FF00A1DE,6 , 15 , 22 , 29 , 24 , 22 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 21 , 19 , 18 , 17 , 16 , 15 , 153 , 161 , 91 , 45 , 74 , 138 , 12 , 85 , 56 , 136 , 89 , 80 , 51 , 120 , 224 , 272 , 141 , 131 , 36
"LaSalle",FF00A1DE,6 , 15 , 22 , 28 , 24 , 22 , 20 , 20 , 20 , 21 , 22 , 22 , 22 , 22 , 20 , 18 , 17 , 16 , 15 , 118 , 131 , 64 , 48 , 84 , 74 , 61 , 89 , 63 , 148 , 91 , 93 , 66 , 96 , 196 , 305 , 203 , 130 , 44
"Clinton-Blue",FF00A1DE,6 , 15 , 21 , 29 , 24 , 21 , 20 , 20 , 21 , 21 , 22 , 22 , 22 , 22 , 20 , 18 , 17 , 16 , 14 , 54 , 91 , 47 , 60 , 66 , 66 , 130 , 67 , 117 , 105 , 87 , 76 , 60 , 128 , 189 , 274 , 208 , 112 , 153
"UIC-Halsted",FF00A1DE,5 , 16 , 20 , 29 , 25 , 21 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 22 , 20 , 18 , 17 , 16 , 13 , 39 , 78 , 87 , 60 , 98 , 47 , 109 , 102 , 70 , 235 , 100 , 130 , 81 , 64 , 159 , 351 , 163 , 126 , 30
